keys,en,de
BOSS_KEY_20,Welcome back comrade. Your first mission was a great success and our scientists are studying the plans.,"Willkommen zurück, Genosse. Ihre erste Mission war ein großer Erfolg. Unsere Wissenschaftler studieren bereits die Pläne."
BOSS_KEY_30,It seems that Titov suffered from some kind of seasickness. The space sickness. We have instructed our diplomats to collect all vomit bags during international flights.,"Es scheint, dass Titov an einer Art Seekrankheit litt. Die Weltraumkrankheit. Wir haben unsere Diplomaten angewiesen, bei internationalen Flügen alle Kotztüten einzusammeln."
BOSS_KEY_31,"Well, I ordered you today, because there are first rumors about a manned American space flight. A guy named Enzo is supposed to take over this flight.","Nun, ich habe Sie heute einbestellt, weil es erste Gerüchte über einen bemannten amerikanischen Raumflug gibt. Ein Typ namens Enzo soll diesen Flug übernehmen."
BOSS_KEY_22,"The Soviets had another manned space flight with the Vostok-2, with a cosmonaut spending a day in space. Your mission is to steal the medical records from the Soviet hospital.","Die Sowjets hatten mit der Vostok-2 einen weiteren bemannten Raumflug, bei dem ein Kosmonaut einen Tag im All verbrachte. Ihre Mission ist es, die medizinischen Aufzeichnungen aus dem sowjetischen Krankenhaus zu stehlen."
BOSS_KEY_32,Infiltrate the NASA training site and get us photos of the training Mr. Enzo is doing.,"viel Erfolg bei Ihrer Mission, Agent. Machen Sie den großen Führer stolz."
BOSS_KEY_41,"For your next \mission\ I need your utmost discretion. It's a... well, delicate subject. Can I count on you?","Für Ihre nächste Mission brauche ich Ihre äußerste Diskretion. Es ist ein... nun ja, heikles Thema. Kann ich auf Sie zählen?"
BOSS_CHOICE_41_0,"Yes, Sir.","Ja, Sir"
BOSS_CHOICE_41_1,It depends.,Kommt drauf an
BOSS_CHOICE_41_2,This sounds dubious.,Das klingt dubios
BOSS_KEY_40,"Our source must have misunderstood something. Well, at least now we know how to train a chimpanzee. The source has dried up, if you know what I mean. Mistakes will not be tolerated.","Unsere Quelle muss etwas missverstanden haben. Nun, zumindest wissen wir jetzt, wie man einen Schimpansen trainiert. Die Quelle ist nun versiegt, wenn Sie wissen, was ich meine. Fehler werden nicht toleriert."
BOSS_KEY_42_ok,"I knew, comrade, that I could count on you.","Ich wusste, Genosse, dass ich auf dich zählen kann."
BOSS_KEY_42_no,"Oh come on, did you really think you had a choice? I'm your boss and that's an order.","Ach kommen Sie schon, haben Sie wirklich gedacht, Sie hätten eine Wahl? Ich bin Ihr Boss und das ist ein Befehl."
BOSS_KEY_43,"Okay, it's a little precarious. I think my wife is cheating on me. Observe my house while I'm at work and get me proof if necessary.","Okay, es ist ein wenig prekär. Ich glaube, meine Frau betrügt mich. Beobachten Sie mein Haus, während ich bei der Arbeit bin und besorgen Sie mir Beweise, wenn nötig."
BOSS_KEY_50,"I knew it. I had ignored the signs, but they were there all along.","Ich wusste es. Ich hatte die Zeichen ignoriert, aber sie waren die ganze Zeit da."
BOSS_KEY_52_okay,"All right, bring him to me. I will then take care of him.","In Ordnung, bringen Sie ihn zu mir. Ich werde mich dann um ihn kümmern."
BOSS_KEY_51,"Okay, I need you to kidnap him. I will... well... \interrogate\ him. He lives in a hotel in the next town.","Okay, du musst ihn für mich entführen. Ich werde ihn.. äh.. verhören. Er wohnt in einem Hotel in der nächsten Stadt."
BOSS_CHOICE_51_0,"Yes, Sir","Ja, Sir"
BOSS_CHOICE_51_1,Is this really necessary?,Ist das wirklich notwendig?
BOSS_KEY_52_why,"It is! He could have been specifically targeted at me. Besides, I now have a score to settle with him.",Das ist es! Er könnte gezielt auf mich angesetzt worden sein. Außerdem habe ich jetzt noch eine Rechnung mit ihm offen.
BOSS_KEY_60,Comrade! Today there is great news. Our scientists are making great progress with the development of our first own rocket.,Genosse! Heute gibt es großartige Neuigkeiten. Unsere Wissenschaftler machen große Fortschritte bei der Entwicklung unserer ersten eigenen Rakete.
BOSS_KEY_61,"However, news reaches us from our spy network in the USSR. It looks like the Soviets are developing a new booster for their Vostok missiles.","Allerdings erreicht uns eine Nachricht von unserem Spionagenetzwerk in der UdSSR. Es sieht so aus, als würden die Sowjets einen neuen Booster für ihre Vostok-Raketen entwickeln."
BOSS_KEY_62,Get us the plans from these boosters. They would be a great inspiration for our scientists.,Besorgen Sie uns die Pläne von diesen Boostern. Sie würden eine große Inspiration für unsere Wissenschaftler sein.
BOSS_CHOICE_62_0,"Yes, sir!","Ja, Sir!"
BOSS_CHOICE_62_1,Inspiration?,Inspiration?
BOSS_KEY_63_okay,Good luck on your mission.,Viel Glück bei Ihrer Mission.
BOSS_KEY_63_what,"You know, the kind of inspiration you used to need in school when you forgot your homework. But now let's go, good luck.","Sie wissen schon, diese Art von Inspiration, die man früher in der Schule brauchte, wenn man die Hausaufgaben vergessen hatte. Genug geredet. Viel Erfolg."
BOSS_KEY_70,Good job with the photos. I have forwarded these to the Ustria Space Center. I was also right about the affair. It is a young spy of the Soviets with the code name Platov.,Gute Arbeit mit den Fotos. Ich habe diese an das Ustria Space Center weitergeleitet. Ich hatte auch Recht mit der Affäre. Es ist ein junger Spion der Sowjets mit dem Codenamen Platov.
BOSS_KEY_71,Our great leader will exchange him for some of our agents.It is said that he has a great future in the KGB.,"Unser großer Führer wird ihn gegen einige unserer Agenten austauschen. Man sagt, dass er eine große Zukunft beim KGB habe."
BOSS_CHOICE_71_0,About his life,Über den Spion
BOSS_CHOICE_71_1,What about your wife?,Über seine Frau
BOSS_KEY_72_life,"I would very much end his life and that of my wife. But he has powerful allies in the KGB, so our great leader decided to exchange him for several of our agents.","Ich würde sehr gern sein Leben und das meiner Frau beenden. Aber er hat mächtige Verbündete im KGB, deshalb hat unser großer Führer beschlossen, ihn gegen mehrere unserer Agenten auszutauschen."
BOSS_KEY_80,"We are ready! The rocket is ready for launch. But in the final tests, the control unit failed again. We were asked to find a replacement.","Wir sind bereit! Die Rakete ist bereit zum Start. Doch bei den letzten Tests ist die Steuereinheit erneut ausgefallen. Wir wurden gebeten, einen Ersatz zu finden."
BOSS_KEY_81,The Soviet control unit seems to be 100% compatible with ours for some reason. That is why we intend to \borrow\ one.,"Das sowjetische Steuergerät scheint aus irgendeinem Grund zu 100% mit unserem kompatibel zu sein. Deshalb haben wir vor, eine Einheit zu borgen."
BOSS_KEY_82,Good luck with your mission. And many thanks for the contract.,Viel Erfolg bei Ihrem Auftrag. Und vielen Dank für den Vertrag.
BOSS_KEY_90,Comrade! The first missile test was a complete success for the great nation of Ustria. The great leader has demanded to increase the pace even more to further expand our technological advancement.,"Genosse! Der erste Raketentest war ein voller Erfolg für die große Nation von Ustria. Unser großer Führer hat gefordert, das Tempo noch mehr zu erhöhen, um unseren technologischen Fortschritt weiter auszubauen."
BOSS_KEY_91,The Soviets accuse us of espionage and claim our Great Ustria missile is a copy of their Vostok missiles. We expect them to significantly increase their security measures.,"Die Sowjets beschuldigen uns der Spionage und behaupten, unsere Great-Ustria-Rakete sei eine Kopie ihrer Vostok-Raketen. Wir erwarten, dass sie ihre Sicherheitsmaßnahmen nun deutlich erhöhen werden."
BOSS_KEY_92,That's why we need to significantly increase our agency's budget. The plan is to steal some of the Nazi gold in Switzerland to increase our funds.,"Deshalb müssen wir das Budget unserer Agentur deutlich erhöhen. Der Plan ist, etwas vom Nazi-Gold der Schweiz zu stehlen, um unsere Mittel zu erhöhen."
BOSS_KEY_100,"Agent, the Soviets have again launched a lunar mission. Rumor says that Luna took 3 photos of the moon.","Agent, die Sowjets haben wieder eine Mondmission gestartet. Gerücht besagt, dass Luna 3 Fotos vom Mond gemacht hat."
BOSS_KEY_101,This could provide us with valuable information about possible landing sites on the Moon.,Dies könnte uns wertvolle Informationen über mögliche Landeplätze auf dem Mond liefern.
BOSS_KEY_102,Get us those photos.,Besorgen Sie uns die Fotos.
BOSS_KEY_73,"About my wife: I want a divorce, of course, but we have a very unfair marriage contract on file with a law firm. That's your next mission.","Wegen meiner Frau: Ich will die Scheidung, natürlich, aber wir haben einen sehr unfairen Ehevertrag bei einer Anwaltskanzlei hinterlegt. Das ist Ihr nächster Auftrag."
BOSS_KEY_111,"Rather than just getting the files, this time they bring us the astronaut. We hope to get information from him about the NASA program.","Anstatt nur die Dateien zu bekommen, bringen sie uns dieses Mal den Astronauten. Wir hoffen, von ihm Informationen über das NASA-Programm zu bekommen."
BOSS_KEY_110,Welcome back Spy. It seems the Yanks are making great strides. They have completed an earth orbital mission. We have information about the location of  the astronaut.,"Willkommen zurück, Spy. Es scheint, als würden die Amis große Fortschritte machen. Sie haben eine erdumlaufende Mission abgeschlossen. Wir haben Informationen über den Aufenthaltsort des Astronauten."
BOSS_KEY_112,That's it. You may now leave.,Das war's. Sie können jetzt gehen.
BOSS_KEY_120,"Comrade, our hostage was pretty talkative, we hardly had to use force. He mentioned a new project of NASA. The Apollo project. ","Genosse, unsere Geisel war ziemlich gesprächig, wir mussten kaum Gewalt anwenden. Er erwähnte ein neues Projekt der NASA. Das Apollo-Projekt. "
BOSS_KEY_121,The NASA director reportedly takes the plans home every night. Gain access to the house and photocopy the files.,Der NASA-Direktor nimmt die Pläne angeblich jede Nacht mit nach Hause. Verschaffen Sie sich Zugang zum Haus und fotokopieren Sie die Akten.
BOSS_KEY_122,Natasja has the plane tickets as well as the briefing. Good luck.,Natasja hat sowohl die Flugtickets als auch das Briefing. Viel Glück!
BOSS_KEY_130,"Comrade, we haven't been able to use you for a while. Your last mission caused an unwanted stir. But now that your only colleague has passed away on duty. We' re reevaluating the risk.","Kamerad, wir konnten Sie schon eine Weile nicht mehr gebrauchen. Ihr letzter Einsatz hat unerwünschtes Aufsehen erregt. Aber jetzt, wo Ihr einziger Kollege im Dienst verstorben ist. Wir schätzen das Risiko neu ein."
BOSS_CHOICE_130_0,What happend?,Was ist passiert?
BOSS_KEY_131,What? About your ex-colleague or your exposure?,Was? Über Ihren Ex-Kollegen oder Ihre Enttarnung?
BOSS_CHOICE_131_0,My colleague,Mein Kollege
BOSS_CHOICE_131_1,My exposure,Meine Enttarnung
BOSS_KEY_132,He was going to drop out after the mission.,Er wollte nach dieser Mission aussteigen.
BOSS_KEY_133,Soviet intelligence was able to identify you. We could not reconstruct it. The good news...,"Der sowjetische Geheimdienst war in der Lage, Sie zu identifizieren. Wir konnten es nicht rekonstruieren. Die gute Nachricht..."
BOSS_KEY_134,We will focus more on the U.S. They are making considerable progress with their Apollo program. But first you have to go back to the USSR one last time.,Wir werden uns mehr auf die USA konzentrieren. Sie machen erhebliche Fortschritte mit ihrem Apollo-Programm. Aber zuerst müssen Sie noch einmal zurück in die UdSSR gehen.
BOSS_KEY_135,The Soviets have a satellite in orbit of the moon.  We need these images to find a suitable landing site. I am confident that you will survive. Good luck.,"Die Sowjets haben einen Satelliten in der Umlaufbahn des Mondes.  Wir brauchen diese Bilder, um einen geeigneten Landeplatz zu finden. Ich bin zuversichtlich, dass Sie überleben werden. Viel Glück."
BOSS_KEY_140,"Welcome back! You have delivered interesting data, the scientists of the space program are still analyzing it.","Willkommen zurück! Sie haben interessante Daten geliefert, die Wissenschaftler des Raumfahrtprogramms sind noch dabei, sie zu analysieren."
BOSS_KEY_141,We have learned that the Americans have taken the Apollo program up a notch. That is why the great leader has instructed us to be tougher.,"Wir haben erfahren, dass die Amerikaner das Apollo-Programm auf die Spitze getrieben haben. Deshalb hat der große Führer uns angewiesen, härter zu sein."
BOSS_KEY_142,We want to delay a possible launch of the Apollo program by sabotaging the command module. ,"Wir wollen einen möglichen Start des Apollo-Programms verzögern, indem wir das Kommandomodul sabotieren. "
BOSS_CHOICE_142_0,About explosives,Sprengstoff?
BOSS_CHOICE_142_1,About casualties,Opfer?
BOSS_KEY_143,"No. Even though it would probably be the most effective, we would immediately be the suspects. We have to look strong.","Nein. Auch wenn es wahrscheinlich am effektivsten wäre, würden wir sofort die Verdächtigen sein. Wir müssen stark aussehen."
BOSS_KEY_144,There will be no casualties. The Americans will do many tests and will eventually notice that something is wrong.,"Es wird keine Verletzten geben. Die Amerikaner werden viele Tests machen und irgendwann merken, dass etwas nicht stimmt."
BOSS_KEY_145,Let's not waste any more time. Go there and sabotage the module.,Lassen Sie uns keine Zeit mehr verlieren. Gehen Sie und sabotieren Sie das Modul.
BOSS_KEY_150,"Comrade, welcome back. The last mission did not go as planned. It seems that all functional tests were completed before our sabotage.","Genosse, willkommen zurück. Die letzte Mission verlief nicht wie geplant. Es scheint, dass alle Funktionstests vor unserer Sabotage abgeschlossen wurden."
BOSS_KEY_151,"Nonetheless, this puts a big damper on the Apollo program. However, the price is high. Both the USA and the Soviets have increased their security measures. One of our spies was arrested in the Soviet Union.",Nichtsdestotrotz ist dies ein großer Dämpfer für das Apollo-Programm. Doch der Preis ist hoch. Sowohl die USA als auch die Sowjets haben ihre Sicherheitsmaßnahmen erhöht. Einer unserer Spione wurde in der Sowjetunion verhaftet.
BOSS_KEY_152,"We know where they took him. However, we do not know what he will say. That's why your mission is to smuggle a listening device into the interrogation room and activate it there.","Wir wissen, wohin sie ihn gebracht haben. Allerdings wissen wir nicht, was er sagen wird. Deshalb ist Ihr Auftrag, ein Abhörgerät in den Verhörraum zu schmuggeln und es dort zu aktivieren."
BOSS_KEY_153,That's all. Easy! Isn't it? Good luck,"Das ist alles. Einfach, nicht wahr? Viel Erfolg!"
BOSS_KEY_160,Good evening. Our spy did not talk. That must have saved us a lot of trouble. We have learned that the USSR will soon make the first manned test flight with the new Soyuz.,"Guten Abend. Unser Spion hat nicht geredet. Das hat uns wohl eine Menge Ärger erspart. Wir haben erfahren, dass die UdSSR bald den ersten bemannten Testflug mit der neuen Sojus machen wird."
BOSS_KEY_161,"In this sabotage mission, we take a less subtle approach. The Soviets are transporting a solar panel on a train. Blow up the panel.",Bei dieser Sabotage-Mission gehen wir weniger subtil vor. Die Sowjets transportieren ein Solarpanel in einem Zug. Sprengen Sie das Panel in die Luft.
BOSS_KEY_162,Good luck.,Viel Erfolg.
BOSS_KEY_170,"Welcome back. Despite our efforts, both the US and USSR are making great strides. Apollo 8 has just orbited the moon. ",Willkommen zurück. Trotz unserer Bemühungen machen sowohl die USA als auch die UdSSR große Fortschritte. Apollo 8 hat gerade den Mond umkreist. 
BOSS_KEY_171,"The landing capsule will land in the Pacific tonight. And you will be there, of course.",Die Landekapsel wird heute Abend im Pazifik landen. Und Sie werden natürlich dabei sein.
BOSS_KEY_172,Enter the salvage ship and get us the black box. The records could turn out to be extremely useful for our first orbit around the moon. Good luck.,Betreten Sie das Bergungsschiff und holen Sie uns die Blackbox. Die Aufzeichnungen könnten sich als äußerst nützlich für unsere erste Mondumrundung erweisen. Viel Glück.
BOSS_KEY_180,"Hello Agent, it's been a while since your last mission. We're making great progress. But it seems the Americans are always one step ahead of us.","Hallo Agent, es ist schon eine Weile her seit Ihrer letzten Mission. Wir machen große Fortschritte. Aber es scheint, die Amerikaner sind uns immer einen Schritt voraus."
BOSS_KEY_181,Our intelligence was able to locate a new laboratory in which the moon landing is to be prepared. Search the building we need the mission briefing.,"Unser Geheimdienst konnte ein neues Labor ausfindig machen, in dem die Mondlandung vorbereitet werden soll. Durchsuchen Sie das Gebäude, wir brauchen das Missions-Briefing."
BOSS_KEY_182,The clock is ticking. Let's go.,Die Uhr tickt. Los geht's.
BOSS_KEY_190,"Comrade, what a surprise. We were pretty sure they just wanted to fake the moon landing. But we found some clues in the documents.","Genosse, was für eine Überraschung. Wir waren ziemlich sicher, dass sie die Mondlandung nur vortäuschen wollten. Aber wir fanden einige Hinweise in den Dokumenten."
BOSS_KEY_191,It looks like this is Plan B in case their Apollo 11 mission doesn't work out. We've identified an address. We believe there can the real mission briefing be found.,"Es sieht so aus, als wäre das der Plan B, falls ihre Apollo-11-Mission nicht klappt. Wir haben eine Adresse identifiziert. Wir glauben, dass dort das echte Missionsbriefing gefunden werden kann."
BOSS_KEY_192,Good luck comrade. For Ustria!,"Viel Glück, Genosse. Für Ustria!"
BOSS_KEY_200,Great work comrade. We did it! The Americans don't plan to launch until July. We will launch tonight.Our great leader has invited our entire staff to a celebration tonight.,"Gute Arbeit, Genosse. Wir haben es geschafft! Die Amerikaner planen den Start nicht vor Juli. Wir werden heute Abend starten. Unser großer Führer hat unsere gesamte Belegschaft zu einer Feier heute Abend eingeladen."
BOSS_KEY_201,Go home and put on something decent. Today there is every reason to celebrate.,Gehen Sie nach Hause und ziehen Sie sich etwas Anständiges an. Heute gibt es allen Grund zum Feiern.
END,,
