keys,en,de
KEY_160,Do you remember what I said to you a few weeks ago? I meant it.,"Weißt du noch, was ich vor ein paar Wochen zu dir gesagt habe? Ich habe es ernst gemeint."
KEY_172,Are you mad at me? ... The General is waiting.,Bist du sauer auf mich? ... Der General wartet.
KEY_171,Have you never heard of the secretaries' network? We know everything. We are better informed than the secret service itself.,Hast du noch nie vom Netzwerk der Sekretärinnen gehört? Wir wissen alles. Wir sind besser informiert als der Geheimdienst selbst.
KEY_170,Our moon project is already so far advanced. We have overtaken the Soviets and are even ahead of the Americans. I am sure that we will win the moon race. ,"Unser Mondprojekt ist schon so weit fortgeschritten. Wir haben die Sowjets überholt und liegen sogar vor den Amerikanern. Ich bin sicher, dass wir das Mondrennen gewinnen werden. "
CHOICE_170_0,About that info,Wegen der Info
CHOICE_170_1,"Ok, cool","Ok, cool"
KEY_180,You're really like James Bond. I hope you'll kidnap me one day.,"Du bist echt wie James Bond. Ich hoffe, dass du mich eines Tages entführen wirst."
KEY_190,A staged moon landing! What a great idea. This could have saved us a lot of time.,Eine inszenierte Mondlandung! Was für eine tolle Idee. Das hätte uns eine Menge Zeit erspart.
KEY_200,It looks like we are going to win the race. Tonight at the party we will meet. I have also booked a room for us.,"Es sieht so aus, als würden wir das Rennen gewinnen. Heute Abend auf der Party müssen wir uns treffen. Ich habe ein Zimmer gebucht."
END,,
